央视频道,#genre#
天津文艺,http://221.197.236.192:17514/udp/225.1.1.131:5002$联通RTP
天津影视,http://221.197.236.192:17514/udp/225.1.1.149:5002$联通RTP
天津都市,http://221.197.236.192:17514/udp/225.1.1.128:5002$联通RTP
天津体育,http://221.197.236.192:17514/udp/225.1.1.122:5002$联通RTP
天津教育,http://221.197.236.192:17514/udp/225.1.1.129:5002$联通RTP
河东,http://221.197.236.192:17514/udp/225.1.2.2:5002$联通RTP
河西,http://221.197.236.192:17514/udp/225.1.2.4:5002$联通RTP
宝坻,http://221.197.236.192:17514/udp/225.1.1.83:5002$联通RTP
蓟州,http://221.197.236.192:17514/udp/225.1.1.82:5002$联通RTP
静海,http://221.197.236.192:17514/udp/225.1.1.110:5002$联通RTP
